n_shots,n_ways,n_query,source_dataset,target_dataset,ood_dataset,split,loss_type,fisher_coeff,act_type,lbfgs_iters,backbone_arch,backbone_method,rng_seed,task_id,id_accuracy,id_max_p_apr,id_max_p_auroc,id_max_alp_apr,id_max_alp_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_p_apr,ood_max_p_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_entropy_apr,ood_mi_apr,ood_diff_entropy_auroc,ood_mi_auroc
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,0,0.85,0.9355158772804725,0.6823529411764706,0.9601616004888363,0.7968627450980391,0.9555564254376248,0.7780392156862744,0.963072681917296,0.8086274509803921,0.5992944855407625,0.5573999999999999,0.521748311924795,0.4082,0.5533988334703603,0.5260701162946302,0.44299999999999995,0.4105
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,1,0.82,0.9298895095827473,0.7262872628726287,0.9300737762402369,0.7154471544715448,0.9276448989377926,0.7059620596205962,0.9227620670911596,0.6897018970189702,0.5742755940166033,0.42364999999999997,0.6344988076332803,0.5233500000000001,0.594397651314293,0.6313274784160916,0.46975000000000006,0.51895
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,2,0.95,0.9959782959445069,0.9242105263157894,0.9880400090579275,0.8042105263157895,0.9908043357275681,0.8463157894736841,0.9806107652589217,0.7305263157894737,0.8901958016649284,0.8463999999999999,0.9398887299721779,0.9288,0.9288724835876258,0.9396153350453031,0.91475,0.9282
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,3,0.92,0.9769942664792921,0.7948369565217391,0.9809604858781638,0.8328804347826088,0.9793963925792382,0.8179347826086956,0.9740715884422595,0.7703804347826086,0.7070028615896102,0.7008,0.6123699458086829,0.5447000000000001,0.6845821705954924,0.6200331141787851,0.6406000000000001,0.5517000000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,4,0.78,0.9620606845209375,0.8592657342657344,0.9548198405741344,0.8382867132867133,0.9563927107863412,0.8406177156177157,0.9454835248542612,0.8184731934731935,0.8738667227111333,0.8607999999999999,0.9075435509026891,0.8896999999999999,0.9015495799827766,0.9076463726001934,0.8834499999999998,0.8913
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,5,0.93,0.9947896530976605,0.9354838709677419,0.9967344424181115,0.956989247311828,0.9963636600673514,0.9523809523809523,0.9964607888654744,0.9539170506912442,0.6466332131687837,0.53965,0.6618367400070769,0.57265,0.6519794830537543,0.6597530503825096,0.5523,0.5697500000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,6,0.84,0.9874231230654413,0.9360119047619048,0.9914585793644608,0.9553571428571429,0.9889017546314985,0.9419642857142858,0.9887881618472806,0.9456845238095238,0.5880380358337527,0.5762,0.6280767207448995,0.6174,0.6060278157640427,0.6270410127980581,0.59985,0.6169
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,7,0.91,0.988783542851308,0.8937728937728938,0.9746193116896397,0.7960927960927962,0.9818391741679473,0.8400488400488401,0.9627833180171431,0.7326007326007327,0.8500421091733241,0.79445,0.9542032358427954,0.9308500000000001,0.9426674235325249,0.9535082922601582,0.9201999999999999,0.92995
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,8,0.9,0.9838199147187026,0.8644444444444445,0.9799518901048786,0.86,0.9861178044263659,0.8866666666666667,0.9775383349040725,0.8422222222222222,0.8906470618318063,0.883,0.9184949097699793,0.9146000000000001,0.9172400901066663,0.9192858948731439,0.9137,0.9154
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,9,0.88,0.9923704137945567,0.9431818181818182,0.99012059278918,0.930871212121212,0.9924498487680499,0.9460227272727273,0.987859403694701,0.9166666666666666,0.713025437263496,0.6463499999999999,0.6974916949392621,0.6143500000000001,0.7034058347663799,0.6983390587134694,0.6224000000000001,0.61485
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,10,0.86,0.9810603256338137,0.892857142857143,0.9773897599826772,0.8762458471760797,0.980532095631875,0.8895348837209303,0.9747988935234285,0.8612956810631229,0.9286125377807442,0.9195000000000001,0.9360554094635098,0.9262,0.935677916528566,0.9331189821681687,0.92595,0.9203999999999999
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,11,0.89,0.9809416065217158,0.8896833503575077,0.9816762595013411,0.8917262512768129,0.9808107493510532,0.8871297242083758,0.9765949232725546,0.8529111338100102,0.8162408675466655,0.801,0.5960307767549688,0.5439,0.7217431816669015,0.6054965121572908,0.6638000000000001,0.5526
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,12,0.91,0.9956292326864151,0.9572649572649573,0.9884903230970514,0.8962148962148963,0.9910567197809577,0.9157509157509157,0.9849067986488367,0.8717948717948718,0.9334306361485412,0.9198,0.9599030279251298,0.9492,0.9574227592207668,0.9602064925183215,0.9484,0.9509000000000001
