n_shots,n_ways,n_query,source_dataset,target_dataset,ood_dataset,split,loss_type,fisher_coeff,act_type,lbfgs_iters,backbone_arch,backbone_method,rng_seed,task_id,id_accuracy,id_max_p_apr,id_max_p_auroc,id_max_alp_apr,id_max_alp_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_p_apr,ood_max_p_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_entropy_apr,ood_mi_apr,ood_diff_entropy_auroc,ood_mi_auroc
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,0,0.85,0.9355158772804725,0.6823529411764706,0.9601616004888363,0.7968627450980391,0.9555386001256818,0.7788235294117647,0.963072681917296,0.8086274509803921,0.5992944855407625,0.5573999999999999,0.521748311924795,0.4082,0.5534244666869483,0.5260701162946302,0.443,0.4105
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,1,0.82,0.9298895095827473,0.7262872628726287,0.9300737762402369,0.7154471544715448,0.9276448989377926,0.7059620596205962,0.9227620670911596,0.6897018970189702,0.5742755940166033,0.42364999999999997,0.6343909889133976,0.52315,0.594397651314293,0.6313274784160916,0.46975000000000006,0.51895
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,2,0.95,0.9959782959445069,0.9242105263157894,0.9880400090579275,0.8042105263157895,0.9908043357275681,0.8463157894736841,0.9806107652589217,0.7305263157894737,0.8901958016649284,0.8463999999999999,0.9398521446063243,0.9287,0.929112983828126,0.9395787496794495,0.91525,0.9281
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,3,0.92,0.9769942664792921,0.7948369565217391,0.9809604858781638,0.8328804347826088,0.9793963925792382,0.8179347826086956,0.9740715884422595,0.7703804347826086,0.7070793349396817,0.7009999999999998,0.6125021031250507,0.5448999999999999,0.6846086256219475,0.6198740991506673,0.6407,0.5517000000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,4,0.78,0.9622074675624575,0.8598484848484849,0.9548198405741344,0.8382867132867133,0.9565351609287913,0.8420745920745921,0.9454835248542612,0.8184731934731935,0.8738667227111333,0.8607999999999999,0.9075435509026891,0.8896999999999999,0.9018769393529207,0.9076463726001935,0.8874500000000001,0.8917999999999999
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,5,0.93,0.9947896530976605,0.9354838709677419,0.9967344424181115,0.956989247311828,0.9963636600673514,0.9523809523809523,0.9964607888654744,0.9539170506912442,0.6466332131687837,0.53965,0.6618367400070769,0.57265,0.6519792279712352,0.6597530503825096,0.55235,0.5697500000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,6,0.84,0.9876008060789452,0.9367559523809523,0.9914585793644608,0.9553571428571429,0.9900086324083016,0.9456845238095238,0.9887304417895605,0.9427083333333334,0.5880380358337527,0.5762,0.6280767207448995,0.6174,0.6070687995150561,0.6267646450597615,0.6031500000000001,0.61665
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,7,0.91,0.988783542851308,0.8937728937728938,0.9746193116896397,0.7960927960927962,0.9818391741679472,0.8400488400488401,0.9627833180171431,0.7326007326007327,0.8499457526542034,0.79435,0.9541321233269927,0.9307500000000001,0.9431178918557142,0.9534358984377643,0.92115,0.9298500000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,8,0.9,0.9838199147187026,0.8644444444444445,0.9799518901048786,0.86,0.9861178044263659,0.8866666666666667,0.9775383349040725,0.8422222222222222,0.8906470618318063,0.883,0.9184949097699793,0.9146000000000001,0.9175004050877934,0.9192858948731439,0.9147,0.9154
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,9,0.88,0.9923704137945567,0.9431818181818182,0.99012059278918,0.930871212121212,0.99244984876805,0.9460227272727273,0.987859403694701,0.9166666666666666,0.7130612314469411,0.64645,0.6974572153940193,0.6142500000000001,0.7032976616894568,0.6984370979291556,0.6224,0.61495
