n_shots,n_ways,n_query,source_dataset,target_dataset,ood_dataset,split,loss_type,fisher_coeff,act_type,lbfgs_iters,backbone_arch,backbone_method,rng_seed,task_id,id_accuracy,id_max_p_apr,id_max_p_auroc,id_max_alp_apr,id_max_alp_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_p_apr,ood_max_p_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_entropy_apr,ood_mi_apr,ood_diff_entropy_auroc,ood_mi_auroc
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,0,0.74,0.9444992880737163,0.8430353430353431,0.9333038520262544,0.8367983367983367,0.8786806959200347,0.7344074844074844,0.7833176846257787,0.5306652806652806,0.4339880415306387,0.277,0.47084880832642106,0.4893,0.4245951491027916,0.4602294491608898,0.3668,0.4756000000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,1,0.68,0.8932571433868799,0.7651654411764706,0.8585419724576404,0.7008272058823529,0.772043799913606,0.5689338235294117,0.6323410689139419,0.3704044117647059,0.6418717368641091,0.5581,0.5006982743501565,0.47745,0.5887613005564165,0.5079751834851778,0.57575,0.4862
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,2,0.89,0.9561924137488224,0.735444330949949,0.9316652104793121,0.6128702757916242,0.8711209379137884,0.3789581205311542,0.8466300785799823,0.2778345250255363,0.7564259938869266,0.7597,0.5069445300758433,0.45910000000000006,0.67938515476854,0.5214253493316666,0.6727000000000001,0.48149999999999993
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,3,0.91,0.9732741378110303,0.7655677655677655,0.9675598918994732,0.7264957264957266,0.9456738002777318,0.5921855921855922,0.9040611029653784,0.4456654456654457,0.5797568116220693,0.47289999999999993,0.4889714685000869,0.46950000000000003,0.48302832969575543,0.4873825136678924,0.38549999999999995,0.45970000000000005
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,4,0.72,0.9086877814061185,0.810515873015873,0.8919051222431116,0.7604166666666666,0.814510942649914,0.6056547619047619,0.7520599482254384,0.4717261904761905,0.6675789611080035,0.6374,0.5857085603569601,0.5388,0.6870479847191067,0.5985081258009961,0.6614,0.5533
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,5,0.9,0.9770496381338911,0.8133333333333334,0.9608027925457129,0.7188888888888889,0.9254572708481281,0.5511111111111111,0.8589703534128281,0.3111111111111111,0.5452061183303977,0.4196,0.6172872649902076,0.5468000000000001,0.6242008025705356,0.6103702954115392,0.5821000000000001,0.5528000000000001
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,6,0.84,0.9765413101703785,0.8772321428571428,0.9731867496874894,0.8616071428571428,0.9537325033559015,0.7775297619047619,0.8982994641732173,0.5930059523809523,0.5421090435109646,0.5031,0.4235611216069436,0.40240000000000004,0.4604813452434163,0.42492917897120713,0.4445,0.40690000000000004
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,7,0.72,0.8960758836393693,0.7653769841269842,0.8807160311074835,0.746031746031746,0.819927761633036,0.6780753968253969,0.7626984248834786,0.5887896825396826,0.7404523486994912,0.6639999999999999,0.3626974735132992,0.2435,0.49160444120613567,0.3701159480091099,0.43069999999999997,0.25930000000000003
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,8,0.81,0.9437435579160864,0.8050682261208577,0.9352456474005524,0.7797270955165692,0.8998969729192092,0.6933073424301494,0.875301388627294,0.5821962313190383,0.8165468648945833,0.772,0.540785273792999,0.481,0.7076885121467689,0.5699678324908153,0.651,0.5087
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,9,0.8,0.9689419540420109,0.8706249999999999,0.9550720967816849,0.829375,0.8898409161920959,0.6693749999999999,0.7427545488356004,0.37499999999999994,0.60752791838336,0.5192000000000001,0.37292659509124954,0.2551,0.4871355842604397,0.3738762214339627,0.39399999999999996,0.2566
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,10,0.82,0.9503242598582082,0.7777777777777777,0.9075159068390457,0.674119241192412,0.8320500473225303,0.497289972899729,0.8041998533836556,0.41056910569105687,0.9506937867470602,0.9255,0.7099635021268053,0.6153000000000001,0.8996348850451246,0.7288920651518714,0.8566,0.6458999999999999
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,11,0.83,0.956944592126505,0.8157335223245925,0.9424094768262268,0.7717930545712262,0.9156208845465446,0.6633593196314671,0.7788256935249601,0.3947554925584692,0.5894995838339652,0.4565,0.44103539640205514,0.4211,0.43579841226672733,0.43546429672682285,0.3813,0.4173
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,12,0.83,0.9083074494651802,0.6647767540751239,0.8797326666146004,0.6130403968816442,0.8319656298757315,0.5024805102763997,0.7969709881455048,0.39617292700212614,0.7858278640805069,0.6950000000000001,0.4276185560198859,0.31199999999999994,0.5836449982768883,0.45742491774986926,0.46499999999999997,0.3292
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,13,0.83,0.9140602590612914,0.6938341601700921,0.8990424558617893,0.660524450744153,0.8741776124432017,0.592487597448618,0.8485710914440728,0.5350815024805102,0.7783995647889068,0.7607,0.7329769695605175,0.6885000000000001,0.7861037343919366,0.7477345994240142,0.7594000000000001,0.7013
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,14,0.79,0.9647744307313273,0.869198312236287,0.9661697017321635,0.8776371308016877,0.9541441206559205,0.8462929475587704,0.8761153675873323,0.6015672091621459,0.521841741831319,0.3645,0.3856749441912703,0.3126,0.4947972663258,0.3910578995941655,0.36819999999999997,0.3255
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,15,0.82,0.9104889038988373,0.6734417344173442,0.8976968701284479,0.6510840108401085,0.8672767848631834,0.5887533875338753,0.8494632841590086,0.5145663956639567,0.7346949001330746,0.6664,0.4565397657049901,0.33160000000000006,0.5589340781807791,0.470280967681169,0.4531,0.3473
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,16,0.76,0.9250178724241065,0.7746710526315788,0.9230471166935168,0.7697368421052632,0.8775697902705085,0.6677631578947368,0.8086948867194084,0.5158991228070174,0.4313685956483245,0.3064,0.3584118245040844,0.2398,0.3780184402273489,0.3586946481134571,0.2807,0.2422
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,17,0.91,0.9513445810109007,0.6288156288156288,0.9450116319027833,0.6056166056166057,0.913275266637667,0.48107448107448114,0.9054156380118045,0.42612942612942617,0.8991967309906249,0.8768,0.41496353954914644,0.3457,0.6975354110920717,0.434630237242905,0.6313,0.37249999999999994
20,5,20,miniImagenet,miniImagenet,CUB,novel,INFO_EDL,0.0,softplus,100,WideResNet28_10,S2M2_R,0,18,0.67,0.859325635585932,0.7191316146540028,0.8039702434380258,0.6408864767073723,0.7154548235324047,0.52962460425147,0.6699366228683432,0.45906829488919043,0.5290564539423068,0.4561,0.6048391129270885,0.5598,0.637795559913952,0.6060854230759138,0.5631,0.5601
